ExamId,Type,Date,TotalMarks,CourseId
1,Final,2025-03-14,30,535
2,Quiz,2025-03-19,100,670
3,Midterm,2025-08-26,20,238
4,Final,2025-08-30,100,420
5,Quiz,2025-11-10,50,253
6,Final,2025-07-20,50,916
7,Quiz,2025-12-03,20,816
8,Midterm,2025-10-27,50,478
9,Final,2025-11-01,50,237
10,Final,2025-11-10,100,464
11,Final,2025-10-15,100,660
12,Midterm,2025-08-22,20,683
13,Final,2025-04-04,100,203
14,Midterm,2025-01-29,20,824
15,Final,2025-03-12,100,452
16,Midterm,2025-11-21,100,91
17,Midterm,2025-11-19,30,335
18,Quiz,2025-07-24,50,853
19,Final,2025-12-25,20,174
20,Final,2025-09-06,30,433
21,Final,2025-01-29,100,761
22,Midterm,2025-05-05,20,695
23,Final,2025-01-15,100,265
24,Quiz,2025-01-05,20,438
25,Quiz,2025-05-08,30,448
26,Midterm,2025-01-23,30,680
27,Midterm,2025-03-27,30,24
28,Quiz,2025-01-07,100,115
29,Midterm,2025-01-09,50,576
30,Midterm,2025-02-01,100,776
31,Final,2025-07-21,30,237
32,Quiz,2025-07-07,30,931
33,Final,2025-09-28,50,721
34,Midterm,2025-01-22,30,682
35,Final,2025-02-09,100,809
36,Final,2025-09-09,30,226
37,Final,2025-05-31,20,204
38,Midterm,2025-07-16,100,330
39,Midterm,2025-11-13,20,933
40,Quiz,2025-12-24,100,341
41,Final,2025-06-12,50,711
42,Quiz,2025-11-16,20,301
43,Final,2025-07-16,100,226
44,Quiz,2025-01-23,50,708
45,Final,2025-06-28,30,596
46,Final,2025-04-02,100,201
47,Final,2025-11-01,20,286
48,Midterm,2025-05-21,30,30
49,Final,2025-06-28,100,484
50,Final,2025-07-19,20,253
51,Midterm,2025-04-26,20,879
52,Final,2025-11-30,20,110
53,Quiz,2025-06-12,100,452
54,Final,2025-04-10,20,815
55,Quiz,2025-10-09,50,149
56,Midterm,2025-05-17,100,552
57,Quiz,2025-04-12,20,395
58,Quiz,2025-12-12,30,911
59,Quiz,2025-01-12,50,919
60,Quiz,2025-07-11,50,682
61,Midterm,2025-09-22,20,162
62,Quiz,2025-07-02,30,608
63,Final,2025-04-19,20,913
64,Midterm,2025-04-05,50,100
65,Quiz,2025-03-28,100,941
66,Quiz,2025-01-17,30,343
67,Final,2025-04-03,50,656
68,Quiz,2025-12-24,50,878
69,Quiz,2025-11-16,50,525
70,Midterm,2025-02-06,30,130
71,Final,2025-05-20,50,498
72,Midterm,2025-10-27,50,494
73,Midterm,2025-11-16,100,672
74,Final,2025-09-28,100,646
75,Quiz,2025-07-04,30,914
76,Midterm,2025-03-31,50,384
77,Midterm,2025-08-19,30,393
78,Final,2025-04-03,50,311
79,Quiz,2025-11-28,20,120
80,Quiz,2025-12-19,20,234
81,Quiz,2025-02-13,100,703
82,Final,2025-12-02,100,30
83,Final,2025-02-17,100,938
84,Quiz,2025-08-14,100,253
85,Midterm,2025-08-22,20,538
86,Midterm,2025-07-15,50,602
87,Final,2025-04-28,30,645
88,Quiz,2025-02-16,50,678
89,Midterm,2025-06-12,100,207
90,Quiz,2026-01-01,30,356
91,Quiz,2025-02-11,20,352
92,Final,2025-03-17,50,92
93,Final,2025-09-04,100,613
94,Midterm,2025-11-24,50,557
95,Quiz,2025-12-28,50,223
96,Midterm,2025-10-21,30,168
97,Final,2025-07-14,50,658
98,Quiz,2025-03-08,30,921
99,Quiz,2025-09-15,20,908
100,Final,2025-05-26,30,190
101,Quiz,2025-11-06,50,349
102,Final,2025-11-05,20,530
103,Quiz,2025-01-29,50,195
104,Quiz,2025-04-15,100,749
105,Quiz,2025-06-11,20,869
106,Midterm,2025-03-20,30,748
107,Quiz,2025-07-07,30,810
108,Final,2025-11-29,100,280
109,Final,2025-02-01,20,853
110,Final,2025-08-10,20,301
111,Midterm,2025-01-24,50,859
112,Quiz,2025-09-16,100,520
113,Quiz,2025-07-24,50,450
114,Midterm,2025-12-17,50,431
115,Quiz,2025-05-21,100,187
116,Quiz,2025-10-31,100,230
117,Midterm,2025-10-06,20,133
118,Quiz,2025-12-16,20,605
119,Final,2025-08-19,30,647
120,Quiz,2025-09-05,20,821
121,Midterm,2025-11-18,100,218
122,Final,2025-12-12,100,190
123,Final,2025-04-14,20,833
124,Quiz,2025-02-22,50,32
125,Quiz,2025-07-06,20,665
126,Final,2025-01-21,50,812
127,Midterm,2025-08-22,100,456
128,Final,2025-12-25,20,674
129,Quiz,2025-07-24,20,32
130,Midterm,2025-09-06,100,594
131,Quiz,2025-09-18,50,249
132,Midterm,2025-11-17,100,94
133,Quiz,2025-04-13,20,797
134,Midterm,2025-09-04,30,799
135,Quiz,2025-05-05,100,467
136,Quiz,2025-08-02,20,884
137,Midterm,2025-01-05,100,589
138,Final,2025-10-19,100,17
139,Quiz,2025-04-10,30,109
140,Final,2025-02-27,20,693
141,Quiz,2025-06-01,30,802
142,Quiz,2025-08-29,20,98
143,Final,2025-05-26,20,252
144,Quiz,2025-08-15,30,757
145,Midterm,2025-05-07,50,179
146,Quiz,2025-12-02,20,948
147,Final,2025-06-04,30,557
148,Midterm,2025-01-10,100,134
149,Quiz,2025-10-19,30,216
150,Final,2025-06-29,100,793
151,Quiz,2025-09-27,20,292
152,Final,2025-10-14,50,445
153,Quiz,2025-05-12,30,159
154,Final,2025-02-01,50,180
155,Midterm,2025-09-04,30,372
156,Quiz,2025-05-22,20,98
157,Final,2025-10-14,100,103
158,Midterm,2025-08-14,20,941
159,Midterm,2025-11-01,20,341
160,Midterm,2025-07-31,30,443
161,Midterm,2025-08-13,100,803
162,Midterm,2025-12-12,30,337
163,Midterm,2025-09-23,20,583
